Source Copybook,Source Record,Source Field Name,COBOL PIC Clause,Source Data Type,Source Length (bytes),Target Postgres Table,Target Column Name,Postgres Data Type,Transformation Notes,Nullable,Transformation Type,Transformation Rule,Default/Fallback Value,Validation Rules
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-ID,PIC 9(11),Numeric (unsigned),11,accounts,acct_id,BIGINT,Primary key; strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS BIGINT); zoned decimal 9(11) display digits to 64-bit integer,None - reject record if missing,NOT NULL; must be > 0; UNIQUE; CHECK(acct_id > 0); reject if non-numeric characters found
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-ACTIVE-STATUS,PIC X(01),Alphanumeric,1,accounts,active_status,CHAR(1),Map 'Y'/'N' to active/inactive flag,No,Direct Copy,Direct 1:1 copy; TRIM trailing spaces; preserve single character value,'Y',"NOT NULL; CHECK(active_status IN ('Y','N')); reject if value not in allowed set"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-CURR-BAL,PIC S9(10)V99,Signed decimal (implied V),12,accounts,curr_bal,"NUMERIC(12,2)",Convert EBCDIC sign-overpunch trailing byte (e.g. '{' = +0); divide by 100 if stored as integer,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: last byte encodes sign and digit. Map trailing char: '{' -> +0, 'A'-'I' -> +1..+9, '}' -> -0, 'J'-'R' -> -1..-9. Extract sign, replace trailing char with decoded digit, insert decimal point before last 2 digits. SQL: CAST(decoded_string AS NUMERIC(12,2))",0.00,"NOT NULL; NUMERIC(12,2) range check; ABS(value) <= 9999999999.99; log warning if balance exceeds credit_limit"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-CREDIT-LIMIT,PIC S9(10)V99,Signed decimal (implied V),12,accounts,credit_limit,"NUMERIC(12,2)",Convert EBCDIC sign-overpunch trailing byte; divide by 100 if stored as integer,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table ('{'/'}' = +/-0, 'A'-'I'/'J'-'R' = +/-1..9). Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(12,2)",0.00,"NOT NULL; must be >= 0; NUMERIC(12,2) range check; ABS(value) <= 9999999999.99"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-CASH-CREDIT-LIMIT,PIC S9(10)V99,Signed decimal (implied V),12,accounts,cash_credit_limit,"NUMERIC(12,2)",Convert EBCDIC sign-overpunch trailing byte; divide by 100 if stored as integer,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table. Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(12,2)",0.00,"NOT NULL; must be >= 0; must be <= credit_limit; NUMERIC(12,2) range check"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-OPEN-DATE,PIC X(10),Alphanumeric date,10,accounts,open_date,DATE,Parse YYYY-MM-DD string to DATE,No,Type Conversion,"TO_DATE(TRIM(source_value), 'YYYY-MM-DD'); validate date is real calendar date before conversion",None - reject record if missing,NOT NULL; valid calendar date; date must be <= CURRENT_DATE; date must be >= '1970-01-01'; reject if format does not match YYYY-MM-DD
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-EXPIRAION-DATE,PIC X(10),Alphanumeric date,10,accounts,expiration_date,DATE,Parse YYYY-MM-DD string to DATE,Yes,Type Conversion,"TO_DATE(TRIM(source_value), 'YYYY-MM-DD'); set NULL if source is all spaces or '0000-00-00'",NULL,Valid calendar date if not null; date must be > open_date when both present; reject if format is not YYYY-MM-DD and not blank
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-REISSUE-DATE,PIC X(10),Alphanumeric date,10,accounts,reissue_date,DATE,Parse YYYY-MM-DD string to DATE; null if not reissued,Yes,Type Conversion,"TO_DATE(TRIM(source_value), 'YYYY-MM-DD'); set NULL if source is all spaces or '0000-00-00'",NULL,Valid calendar date if not null; date must be >= open_date when both present; reject if format is not YYYY-MM-DD and not blank
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-CURR-CYC-CREDIT,PIC S9(10)V99,Signed decimal (implied V),12,accounts,curr_cyc_credit,"NUMERIC(12,2)",Convert EBCDIC sign-overpunch trailing byte,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table. Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(12,2)",0.00,"NOT NULL; NUMERIC(12,2) range check; ABS(value) <= 9999999999.99"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-CURR-CYC-DEBIT,PIC S9(10)V99,Signed decimal (implied V),12,accounts,curr_cyc_debit,"NUMERIC(12,2)",Convert EBCDIC sign-overpunch trailing byte,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table. Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(12,2)",0.00,"NOT NULL; NUMERIC(12,2) range check; ABS(value) <= 9999999999.99"
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-ADDR-ZIP,PIC X(10),Alphanumeric,10,accounts,addr_zip,VARCHAR(10),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) BETWEEN 5 AND 10 when not null; must match pattern '^\d{5}(-\d{4})?$' for US ZIP or be alphanumeric for international
